,Round,Arousal,Valance
0,0.0,0.03748690336942673,0.4551451504230499
1,0.0,0.11772982776165009,0.3414496183395386
2,0.0,0.04943392425775528,0.4093322455883026
3,0.0,0.07654879987239838,0.5013677477836609
4,0.0,0.07651422917842865,0.4469105005264282
5,0.0,0.055758748203516006,0.3896307349205017
6,0.0,0.06910412758588791,0.42734822630882263
7,0.0,0.03044850379228592,0.31936803460121155
8,0.0,0.038278382271528244,0.24635912477970123
9,0.0,0.07661917805671692,0.39806827902793884
10,0.0,0.0405987985432148,0.39117029309272766
11,0.0,0.0986289381980896,0.448695570230484
12,0.0,0.10759802907705307,0.40969061851501465
13,0.0,0.058497145771980286,0.43020007014274597
14,0.0,0.060254499316215515,0.4666879177093506
15,0.0,0.020447302609682083,0.43397367000579834
16,0.0,0.021895453333854675,0.4374966323375702
17,0.0,0.04696325585246086,0.3706754446029663
18,0.0,0.04683134704828262,0.5027353167533875
19,0.0,0.016675837337970734,0.5186391472816467
20,0.0,0.04626951366662979,0.5288556218147278
21,0.0,-0.00699582090601325,0.5090892910957336
22,0.0,0.0636797845363617,0.49643951654434204
23,0.0,0.045486483722925186,0.3748995065689087
24,0.0,0.014476609416306019,0.5167918801307678
25,0.0,0.008973191492259502,0.5155397057533264
26,1.0,-0.10879120230674744,0.11663538962602615
27,1.0,-0.06506147980690002,0.25917595624923706
28,1.0,-0.09530863165855408,0.11653953045606613
29,1.0,-0.1374140977859497,0.13019588589668274
30,1.0,-0.06631862372159958,0.024800829589366913
31,1.0,-0.04763631522655487,-0.0364970937371254
32,1.0,-0.06887997686862946,0.03571268543601036
33,1.0,-0.2935105264186859,0.08238805085420609
34,1.0,-0.29266294836997986,-0.024892598390579224
35,1.0,-0.27515536546707153,0.13307449221611023
36,1.0,-0.29770103096961975,0.23268535733222961
37,1.0,-0.22491984069347382,-0.03837702423334122
38,1.0,-0.30670255422592163,0.1291273981332779
39,1.0,-0.15734167397022247,-0.1118348240852356
40,1.0,-0.17804290354251862,0.02289692498743534
41,1.0,-0.23995527625083923,0.020230187103152275
42,1.0,-0.406471312046051,0.08874336630105972
43,1.0,-0.35136130452156067,-0.002725758124142885
44,1.0,-0.21201223134994507,0.11634647846221924
45,1.0,-0.15661893784999847,-0.09328150004148483
46,1.0,-0.08104388415813446,0.17547601461410522
47,1.0,-0.05289055034518242,0.24299512803554535
48,1.0,-0.10592971742153168,0.17443445324897766
49,1.0,-0.17485284805297852,0.2571188807487488
50,1.0,-0.029596904292702675,0.16223306953907013
51,1.0,0.026247834786772728,0.36714980006217957
