Subject,Condition,Session,Round,Raw_Arousal,Raw_Valence,Raw_Max_A,Raw_Min_A,Raw_Max_V,Raw_Min_V,Norm_Arousal,Norm_Valence,Norm_Max_A,Norm_Min_A,Norm_Max_V,Norm_Min_V,Move_Type,Delta_User,Delta_Agent,Agent Utility,Session_Key,Prev_Arousal,Prev_Valence,Prev_Move,Next_Arousal,Next_Valence,Delta_Arousal,Delta_Valence
S001,CL,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Concession,-0.3249999999999998,0.3999999999999999,0.85,S001_1_CL,,,,0.0230559211003509,-0.3312627281879926,0.0230559211003509,-0.3312627281879926
S001,CL,1,3,0.0003874358662869,-0.0043744700960814,0.3396068513393402,-0.3548431643772656,0.6933074593544006,-0.3548431643772656,0.0230559211003509,-0.3312627281879926,0.3396068513393402,-0.3548431643772656,0.6933074593544006,-0.3548431643772656,Selfish,0.3499999999999998,-0.35,0.5,S001_1_CL,0.0,0.0,Concession,0.0230559211003509,-0.3312627281879926,0.0,0.0
S001,CL,1,4,0.0003874358662869,-0.0043744700960814,0.3396068513393402,-0.3548431643772656,0.6933074593544006,-0.3548431643772656,0.0230559211003509,-0.3312627281879926,0.3396068513393402,-0.3548431643772656,0.6933074593544006,-0.3548431643772656,Concession,-0.4249999999999998,0.2249999999999999,0.725,S001_1_CL,0.0230559211003509,-0.3312627281879926,Selfish,0.4490924832124194,0.1436391690868224,0.42603656211206853,0.47490189727481497
S001,CL,1,5,-0.0293928906321525,-0.0317336320877075,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4490924832124194,0.1436391690868224,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.2999999999999999,-0.35,0.375,S001_1_CL,0.0230559211003509,-0.3312627281879926,Concession,0.4490924832124194,0.1436391690868224,0.0,0.0
S001,CL,1,6,-0.0293928906321525,-0.0317336320877075,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4490924832124194,0.1436391690868224,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.45,0.525,0.9,S001_1_CL,0.4490924832124194,0.1436391690868224,Selfish,0.4093806968479712,0.1180810314060851,-0.03971178636444822,-0.025558137680737295
S001,CL,1,7,-0.0559919811785221,-0.0533725246787071,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4093806968479712,0.1180810314060851,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.425,-0.2,0.7,S001_1_CL,0.4490924832124194,0.1436391690868224,Concession,0.4093806968479712,0.1180810314060851,0.0,0.0
S001,CL,1,8,-0.0559919811785221,-0.0533725246787071,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4093806968479712,0.1180810314060851,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.2249999999999998,0.075,0.775,S001_1_CL,0.4093806968479712,0.1180810314060851,Selfish,0.423546232640642,0.1381211173155254,0.014165535792670825,0.0200400859094403
S001,CL,1,9,-0.0465038567781448,-0.036405511200428,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.423546232640642,0.1381211173155254,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.1999999999999998,-0.3,0.475,S001_1_CL,0.4093806968479712,0.1180810314060851,Concession,0.423546232640642,0.1381211173155254,0.0,0.0
S001,CL,1,10,-0.0465038567781448,-0.036405511200428,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.423546232640642,0.1381211173155254,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.0749999999999998,0.3,0.775,S001_1_CL,0.423546232640642,0.1381211173155254,Selfish,0.555015843581945,0.2363461330983842,0.131469610941303,0.0982250157828588
S001,CL,1,11,0.0415549390017986,0.0467570647597312,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.555015843581945,0.2363461330983842,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.0749999999999998,-0.175,0.6,S001_1_CL,0.423546232640642,0.1381211173155254,Concession,0.555015843581945,0.2363461330983842,0.0,0.0
S001,CL,1,12,0.0415549390017986,0.0467570647597312,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.555015843581945,0.2363461330983842,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.1999999999999998,0.175,0.775,S001_1_CL,0.555015843581945,0.2363461330983842,Selfish,0.4782681577162158,0.1704138552028522,-0.07674768586572922,-0.065932277895532
S001,CL,1,13,-0.0098509239032864,-0.0090647442266345,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4782681577162158,0.1704138552028522,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.1499999999999999,-0.2,0.575,S001_1_CL,0.555015843581945,0.2363461330983842,Concession,0.4782681577162158,0.1704138552028522,0.0,0.0
S001,CL,1,14,-0.0098509239032864,-0.0090647442266345,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.4782681577162158,0.1704138552028522,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Concession,-0.1999999999999999,0.15,0.725,S001_1_CL,0.4782681577162158,0.1704138552028522,Selfish,0.442771874778294,0.1321909820079809,-0.035496282937921786,-0.038222873194871304
S001,CL,1,15,-0.0336264558136463,-0.0414262823760509,0.3396068513393402,-1.0,0.6933074593544006,-1.0,0.442771874778294,0.1321909820079809,0.3396068513393402,-1.0,0.6933074593544006,-1.0,Selfish,0.2249999999999999,-0.0999999999999999,0.625,S001_1_CL,0.4782681577162158,0.1704138552028522,Concession,0.442771874778294,0.1321909820079809,0.0,0.0
