Subject_ID,Session_ID,Round_ID,Condition,Agent_Utility,Human_Utility,Raw_Arousal,Raw_Valence,Max_Arousal,Min_Arousal,Max_Valence,Min_Valence,Bidder,Agent_Move,User_Move,Scaled_Time,Norm_Arousal,Norm_Valence
48,2,15,CL,0.75,0.775,0.1900946199893951,0.1803532391786575,0.8085825,-0.6075,0.8085825,-0.2870487903058529,Human,,nice,0.3369677777777778,0.1264804416259579,-0.1467895566326296
48,2,16,CL,,,0.1900946199893951,0.1803532391786575,0.8085825,-0.6075,0.8085825,-0.2870487903058529,,,,,0.1264804416259579,-0.1467895566326296
49,1,1,FC,0.375,0.725,0.0,0.0,0.0,0.0,0.0,0.0,Human,,,0.06402444444444444,0.0,0.0
49,1,2,FC,0.85,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Agent,,,0.08294222222222222,0.0,0.0
49,1,3,FC,0.425,0.925,0.1921243965625763,-0.1656067222356796,0.3741655051708221,-0.6761893033981323,0.6257370710372925,-0.6039652824401855,Human,,fortunate,0.1052188888888889,0.1921243965625763,-0.1656067222356796
49,1,4,FC,0.875,0.375,0.1921243965625763,-0.1656067222356796,0.3741655051708221,-0.6761893033981323,0.6257370710372925,-0.6039652824401855,Agent,selfish,,0.1118855555555556,0.1921243965625763,-0.1656067222356796
49,1,5,FC,0.575,0.9,0.0290886461734771,-0.0506114698946476,0.3741655051708221,-0.6761893033981323,0.6257370710372925,-0.6039652824401855,Human,,concession,0.1274588888888889,0.0290886461734771,-0.0506114698946476
49,1,6,FC,0.75,0.75,0.0290886461734771,-0.0506114698946476,0.3741655051708221,-0.6761893033981323,0.6257370710372925,-0.6039652824401855,Agent,concession,,0.1452388888888889,0.0290886461734771,-0.0506114698946476
49,1,7,FC,0.575,0.9,0.0415694005787372,-0.2308055907487869,0.3741655051708221,-0.6761893033981323,0.6257370710372925,-0.6039652824401855,Human,,silent,0.1954166666666667,0.0415694005787372,-0.2308055907487869
49,1,8,FC,0.675,0.8,0.0415694005787372,-0.2308055907487869,0.3741655051708221,-0.6761893033981323,0.6257370710372925,-0.6039652824401855,Agent,concession,,0.20988,0.0415694005787372,-0.2308055907487869
49,1,9,FC,0.375,0.875,0.0302140191197395,0.0298952125012874,0.3741655051708221,-0.6761893033981323,0.6257370710372925,-0.6039652824401855,Human,,unfortunate,0.2310822222222222,0.0302140191197395,0.0298952125012874
49,1,10,FC,0.775,0.6,0.0302140191197395,0.0298952125012874,0.3741655051708221,-0.6761893033981323,0.6257370710372925,-0.6039652824401855,Agent,selfish,,0.2466411111111111,0.0302140191197395,0.0298952125012874
49,1,11,FC,0.575,0.9,0.0672928616404533,-0.2446445673704147,0.4255588054656982,-0.6761893033981323,0.6257370710372925,-0.6393183469772339,Human,,fortunate,0.2700344444444445,0.0672928616404533,-0.2446445673704147
49,1,12,FC,0.675,0.675,0.0672928616404533,-0.2446445673704147,0.4255588054656982,-0.6761893033981323,0.6257370710372925,-0.6393183469772339,Agent,concession,,0.2778322222222222,0.0672928616404533,-0.2446445673704147
49,1,13,FC,0.675,0.8,-0.1275920867919922,-0.0339742191135883,0.4255588054656982,-0.7091928124427795,0.6257370710372925,-0.6393183469772339,Human,,concession,0.2912188888888889,-0.1275920867919922,-0.0339742191135883
49,1,14,FC,0.7,0.725,-0.1275920867919922,-0.0339742191135883,0.4255588054656982,-0.7091928124427795,0.6257370710372925,-0.6393183469772339,Agent,fortunate,,0.30902,-0.1275920867919922,-0.0339742191135883
49,1,15,FC,0.625,0.775,0.0937593579292297,-0.2654399275779724,0.4255588054656982,-0.7091928124427795,0.6257370710372925,-0.6393183469772339,Human,,unfortunate,0.32241,0.0937593579292297,-0.2654399275779724
49,1,16,FC,,,0.0937593579292297,-0.2654399275779724,0.4255588054656982,-0.7091928124427795,0.6257370710372925,-0.6393183469772339,,,,,0.0937593579292297,-0.2654399275779724
49,2,1,CL,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Human,,,0.02413888888888889,0.0,0.0
49,2,2,CL,0.875,0.375,0.0,0.0,0.0,0.0,0.0,0.0,Agent,,,0.03081666666666667,0.0,0.0
49,2,3,CL,0.4,0.925,0.0813485532999038,0.0826334655284881,0.5662296988534966,-1.0,0.6257370710372925,-1.0,Human,,unfortunate,0.04529222222222222,0.3808300967494959,0.3318678460567057
49,2,4,CL,0.95,0.6,0.0813485532999038,0.0826334655284881,0.5662296988534966,-1.0,0.6257370710372925,-1.0,Agent,fortunate,,0.05757888888888889,0.3808300967494959,0.3318678460567057
49,2,5,CL,0.475,0.825,-0.0295878127217292,-0.028731470927596,0.5662296988534966,-1.0,0.6257370710372925,-1.0,Human,,concession,0.06982666666666666,0.2391696926557156,0.1948654507246874
49,2,6,CL,0.875,0.375,-0.0295878127217292,-0.028731470927596,0.5662296988534966,-1.0,0.6257370710372925,-1.0,Agent,unfortunate,,0.07651111111111111,0.2391696926557156,0.1948654507246874
49,2,7,CL,0.475,0.825,-0.1033407673239708,-0.1053021103143692,0.5662296988534966,-1.0,0.6257370710372925,-1.0,Human,,silent,0.08875333333333334,0.1449907166648634,0.1006673903483958
49,2,8,CL,0.825,0.65,-0.1033407673239708,-0.1053021103143692,0.5662296988534966,-1.0,0.6257370710372925,-1.0,Agent,concession,,0.1032022222222222,0.1449907166648634,0.1006673903483958
49,2,9,CL,0.55,0.775,-0.1459744721651077,-0.1851875185966491,0.5662296988534966,-1.0,0.6257370710372925,-1.0,Human,,concession,0.1165522222222222,0.0905495259859414,0.0023914640557027
49,2,10,CL,0.775,0.6,-0.1459744721651077,-0.1851875185966491,0.5662296988534966,-1.0,0.6257370710372925,-1.0,Agent,unfortunate,,0.1321377777777778,0.0905495259859414,0.0023914640557027
49,2,11,CL,0.775,0.55,-0.085797369480133,-0.1011856794357299,0.5662296988534966,-1.0,0.6257370710372925,-1.0,Human,,concession,0.16218,0.1673927919883997,0.105731469838215
49,2,12,CL,,,-0.085797369480133,-0.1011856794357299,0.5662296988534966,-1.0,0.6257370710372925,-1.0,,,,,0.1673927919883997,0.105731469838215
50,1,1,FC,0.475,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Human,,,0.05608555555555556,0.0,0.0
50,1,2,FC,0.875,0.375,0.0,0.0,0.0,0.0,0.0,0.0,Agent,,,0.06499111111111111,0.0,0.0
