Move_Type,N_FC,N_CL,Arousal_FC,Arousal_CL,Arousal_p,Arousal_d,Valence_FC,Valence_CL,Valence_p,Valence_d
Concession,473,386,0.010552137222042648,0.1726041866610494,3.6308092475503146e-47,-1.0132360663453466,0.037059006388196376,0.07102966609509913,0.006702494764416293,-0.18531227155962002
Fortunate,50,49,0.03877877181763781,0.14221075696687266,0.005252919941296632,-0.5723017931315881,0.043056536055790795,0.06554709400388188,0.5483679151682923,-0.12108976501026296
Nice,12,8,0.04793281527236101,0.12479237358156554,0.07555556908144107,-0.8390374996742223,-0.10099253198131918,0.09384762928735393,0.005279003058747121,-1.5240623018123305
Other,10,13,0.04560079015791414,0.15016387610763893,0.03183161776412977,-0.9561277279594121,-0.10226556528359651,0.09832033009517444,0.0011803349087372186,-1.5676633415622903
PA_Gain,12,17,0.01148222884244255,0.11980258340987543,0.05047126364982062,-0.7917530534196616,0.06678485613679082,0.058299999881259404,0.9170642031453738,0.04061713054115424
Selfish,470,393,0.010830522763647286,0.18688551552184365,4.216320462833247e-51,-1.0653906009946004,0.03404967726214559,0.07080759687057006,0.00733897339237347,-0.18248997440891976
Silent,4,8,0.004864846181237351,0.04789085746290442,0.7280092545731647,-0.225516486121172,0.062108341769248177,-0.0024821262577455067,0.7441753407138172,0.2030884664392002
Unfortunate,37,30,0.03840563245187516,0.1065211437337489,0.17930084709885835,-0.32412002474013535,0.08153538247391294,0.06628309625092788,0.7698302391571895,0.07325715807488649
