Subject_ID,Session_ID,Condition,Agent_Utility,Human_Utility,Agreement_Rounds,Raw_Arousal,Raw_Valence,Max_Arousal,Min_Arousal,Max_Valence,Min_Valence,Norm_Arousal,Norm_Valence,Concession_Rate,Nice_Rate,Fortunate_Rate,Unfortunate_Rate,Selfish_Rate,Silent_Rate,Nash_Distance
1,1,CL,0.7,0.85,8,-0.0166779666797083,-0.0162025124882347,0.6066440269351006,-0.7943553955471583,0.6066440269351006,-0.7943553955471583,0.3476414012347297,0.0759411949912072,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.4285714285714285,0.0,0.0,0.11180339887498954
1,2,FC,0.75,0.75,9,0.0861052932838599,-0.0540834024755491,0.6162732972039117,-0.8888888888888888,0.6162732972039117,-0.8888888888888888,0.0861052932838598,-0.054083402475549,0.0,0.0,0.375,0.25,0.375,0.0,0.07071067811865482
2,1,FC,0.9,0.575,3,0.0101269866339862,0.0392636522650718,0.4454859137535095,-0.0606417328119277,0.4454859137535095,-0.0606417328119277,0.0096065754381318,0.0470250211656093,0.5,0.0,0.0,0.5,0.0,0.0,0.24622144504490268
2,2,CL,0.75,0.775,6,-0.1017824142155322,-0.1019242729314349,0.6074829257618297,-0.8181818181818182,0.6074829257618297,-0.8181818181818182,0.2431779494832558,0.0135840709293569,0.6,0.0,0.2,0.2,0.0,0.0,0.05590169943749479
3,1,FC,0.8,0.8,7,0.0066951130731747,-0.0265728715234077,0.4759813776383033,-0.4822134742370018,0.4759813776383033,-0.4822134742370018,0.0071866860879318,-0.0211785341213856,0.1666666666666666,0.0,0.1666666666666666,0.5,0.1666666666666666,0.0,0.0
3,2,CL,0.8,0.8,10,-0.0319776509545351,-0.0355874173427238,0.7128030674081102,-0.8041870844991583,0.7128030674081102,-0.8041870844991583,0.0183850961778074,0.0074733149114576,0.2222222222222222,0.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.0
4,1,CL,0.65,0.85,11,0.019310061904517,0.0241008800539103,0.7425000000000002,-0.8586363636363636,0.7425000000000002,-0.8586363636363636,0.1048907831446193,0.0936253453009867,0.2,0.0,0.2,0.1,0.4,0.1,0.15811388300841897
4,2,FC,0.525,0.875,20,-0.024378466559574,0.0977573646232485,0.8510259489297866,-0.95,0.8510259489297866,-0.95,-0.0243784665595739,0.0977573646232485,0.1578947368421052,0.0,0.2105263157894736,0.2631578947368421,0.3684210526315789,0.0,0.2850438562747845
5,1,FC,0.775,0.6,9,0.0554507373667815,0.1765346978517139,0.5921779976171606,-0.4148826178382425,0.5921779976171606,-0.4148826178382425,0.038184038363397,0.1979662573171986,0.5,0.125,0.0,0.125,0.25,0.0,0.2015564437074638
5,2,CL,0.85,0.7,3,0.0316706605255604,0.0363693460822105,0.4742105841636658,-0.3577805550130857,0.4742105841636658,-0.3577805550130857,0.2776924803448555,-0.0302851676516909,1.0,0.0,0.0,0.0,0.0,0.0,0.11180339887498954
6,1,FC,0.725,0.725,4,0.0001546642743051,0.0717350798659026,0.433951735496521,-0.1295550861395895,0.433951735496521,-0.1295550861395895,0.000154664274305,0.0717350798659026,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.10606601717798222
6,2,CL,0.8,0.8,5,0.1990807801485061,0.2039466246962547,0.5612204627990722,-0.4126150429026872,0.5612204627990722,-0.4126150429026872,0.2279134930783968,0.1805360131537752,0.5,0.0,0.25,0.25,0.0,0.0,0.0
7,1,CL,0.7,0.85,14,0.0253314146841013,0.0234011248857886,0.6125577070094921,-0.8130901919470893,0.6125577070094921,-0.8130901919470893,0.2574365417653839,0.1185751599727644,0.2307692307692307,0.0,0.3076923076923077,0.2307692307692307,0.2307692307692307,0.0,0.11180339887498954
7,2,FC,0.65,0.85,17,-0.0043694850791132,0.1067680967689463,0.7695873451955391,-0.9393939393939394,0.7695873451955391,-0.9393939393939394,-0.0046217198319294,0.1047766262884525,0.1875,0.0,0.25,0.3125,0.1875,0.0625,0.15811388300841897
8,1,CL,0.75,0.75,6,0.0965168699622154,0.0811706048746903,0.6670125000000001,-0.8333333333333334,0.6670125000000001,-0.8333333333333334,0.1999432855570858,0.18285580435302,0.0,0.2,0.2,0.4,0.2,0.0,0.07071067811865482
8,2,FC,0.65,0.85,12,-0.0180562077342377,0.2450097532322009,0.7486875000000001,-0.9166666666666666,0.7486875000000001,-0.9166666666666666,-0.0180562077342377,0.2450097532322009,0.2727272727272727,0.0,0.0909090909090909,0.5454545454545454,0.0909090909090909,0.0,0.15811388300841897
9,1,CL,0.7,0.85,7,-0.0937433955924851,-0.0905367914653782,0.2770293525287083,-0.6870632290115405,0.2770293525287083,-0.6870632290115405,-0.0079432148662913,0.2163611143553135,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.6666666666666666,0.11180339887498954
9,2,FC,0.7,0.85,9,0.0458959337039333,-0.1252319349182976,0.2876237697071499,-0.8888888888888888,0.2876237697071499,-0.8888888888888888,0.0458959337039333,-0.1252319349182976,0.25,0.0,0.0,0.125,0.25,0.375,0.11180339887498954
10,1,FC,0.8,0.8,3,0.0750922833879788,-0.0633847887317339,0.2448137601216634,-0.3120646178722381,0.2448137601216634,-0.3120646178722381,0.0750922833879788,-0.0633847887317339,0.0,0.5,0.0,0.0,0.5,0.0,0.0
10,2,CL,0.775,0.75,10,0.011197463265853,0.0140411012340337,0.635499100845675,-0.9,0.635499100845675,-0.9,0.168157860187102,0.1714913354980979,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.05590169943749479
